Date,Open,High,Low,Close,Volume,Adj Close
2016-03-23,13.77,13.83,13.60,13.62,95209700,13.62
2016-03-22,13.67,13.84,13.63,13.76,82870700,13.76
2016-03-21,13.80,14.03,13.72,13.84,103906000,13.84
2016-03-18,13.68,13.88,13.55,13.79,145037500,13.79
2016-03-17,13.22,13.48,13.05,13.40,121732700,13.40
2016-03-16,13.51,13.81,13.09,13.31,148489100,13.31
2016-03-15,13.51,13.60,13.39,13.57,79897700,13.57
2016-03-14,13.72,13.74,13.49,13.64,87470900,13.64
2016-03-11,13.44,13.84,13.37,13.79,116651300,13.79
2016-03-10,13.23,13.40,13.00,13.27,123016200,13.27
2016-03-09,13.17,13.27,13.00,13.14,91714900,13.14
2016-03-08,13.40,13.47,13.05,13.06,124883300,13.06
2016-03-07,13.45,13.62,13.37,13.53,97155200,13.53
2016-03-04,13.76,13.89,13.49,13.54,170377600,13.54
2016-03-03,13.38,13.55,13.25,13.50,105082700,13.50
2016-03-02,13.20,13.51,13.13,13.41,139622500,13.41
2016-03-01,12.64,13.21,12.62,13.19,153558200,13.14
2016-02-29,12.70,12.86,12.51,12.52,123661100,12.47254
2016-02-26,12.49,12.95,12.40,12.70,160314400,12.651857
2016-02-25,12.14,12.33,12.09,12.32,103054600,12.273298
2016-02-24,11.96,12.15,11.65,12.13,159552800,12.084018
2016-02-23,12.47,12.48,12.10,12.16,104498700,12.113904
2016-02-22,12.13,12.54,12.13,12.54,88865500,12.492464
2016-02-19,12.22,12.24,11.98,12.13,121045600,12.084018
2016-02-18,12.71,12.74,12.10,12.24,161539400,12.193601
2016-02-17,12.57,12.69,12.47,12.56,221859400,12.512389
2016-02-16,12.38,12.39,12.11,12.25,194306700,12.203563
2016-02-12,11.48,12.03,11.40,11.95,245388400,11.904701
2016-02-11,11.46,11.55,10.99,11.16,375088700,11.117695
2016-02-10,12.42,12.54,11.91,11.98,227530000,11.934587
2016-02-09,11.99,12.43,11.96,12.20,247349000,12.153753
2016-02-08,12.67,12.70,12.13,12.27,221363600,12.223488
2016-02-05,13.32,13.39,12.89,12.95,125842800,12.90091
2016-02-04,12.89,13.59,12.89,13.25,179394400,13.199773
2016-02-03,13.28,13.29,12.52,13.03,257664600,12.980606
2016-02-02,13.74,13.75,13.13,13.23,147101200,13.179848
2016-02-01,14.05,14.09,13.80,13.96,105739400,13.907081
